Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1415,Tyrique George,eng ENG,FW,Chelsea,eng Premier League,19-333,2006,4,0,145,1.6,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.19,0.19,0.00,0.19,0.63,2.50,6.25,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches
1416,Yannick Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,31-296,1994,6,5,416,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.09,0.43,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches
1417,Ismaël Gharbi,tn TUN,MF,Augsburg,de Bundesliga,21-268,2004,4,0,63,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,2.86,4.29,5.71,0.00,0.00,0.00,0.00,0.00,0.25,0.03,0.29,0.25,0.29,Matches
1418,Mourad El Ghezouani,ma MAR,FW,Elche,es La Liga,27-221,1998,2,0,50,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,0.00,1.67,6.67,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.15,0.12,0.15,Matches
1419,Rachid Ghezzal,dz ALG,FW,Lyon,fr Ligue 1,33-239,1992,7,1,142,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,1.25,2.50,5.63,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
1420,Daniele Ghilardi,it ITA,DF,Roma,it Serie A,22-362,2003,4,0,42,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1421,Andrea Ghion,it ITA,"FW,MF",Sassuolo,it Serie A,25-314,2000,1,0,10,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1422,Bryan Gil,es ESP,"FW,MF",Girona,es La Liga,24-326,2001,14,8,700,7.8,0.00,0.38,0.38,0.00,0.00,0.00,0.51,0.00,0.22,0.22,0.15,0.37,4.62,2.31,8.21,0.00,0.39,0.39,0.00,0.39,0.22,0.16,0.38,0.22,0.38,Matches
1423,Mario Gila,es ESP,DF,Lazio,it Serie A,25-127,2000,16,16,"1,383",15.4,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.06,0.03,0.03,0.01,0.04,0.52,2.92,0.32,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
1424,Benedikt Gimber,de GER,"DF,MF",Heidenheim,de Bundesliga,28-318,1997,10,8,588,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.02,0.02,0.31,2.15,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
1425,Santiago Giménez,mx MEX,FW,Milan,it Serie A,24-260,2001,9,8,621,6.9,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.41,0.41,0.01,0.43,0.87,0.58,4.20,0.00,0.00,0.00,0.00,0.00,0.41,0.02,0.43,0.41,0.43,Matches
1426,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,21-263,2004,12,6,481,5.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.19,0.21,1.32,3.21,4.15,0.00,0.00,0.00,0.00,0.00,0.02,0.20,0.21,0.02,0.21,Matches
1427,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,31-349,1994,15,15,"1,35",15.0,0.00,0.07,0.07,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,0.13,0.53,5.40,0.53,0.00,0.07,0.07,0.00,0.07,0.06,0.07,0.13,0.06,0.13,Matches
1428,Jamie Gittens,eng ENG,FW,Chelsea,eng Premier League,21-148,2004,14,4,453,5.0,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.14,0.32,5.60,1.60,8.40,0.00,0.40,0.40,0.00,0.40,0.16,0.15,0.31,0.16,0.31,Matches
1429,Wilfried Gnonto,it ITA,"FW,MF",Leeds United,eng Premier League,22-059,2003,10,4,312,3.5,0.00,0.29,0.29,0.00,0.00,0.00,0.57,0.00,0.06,0.06,0.17,0.23,2.00,3.14,6.00,0.00,0.29,0.29,0.00,0.29,0.06,0.16,0.22,0.06,0.22,Matches
1430,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,de Bundesliga,24-323,2001,12,8,664,7.4,0.00,0.14,0.14,0.00,0.00,0.00,0.27,0.14,0.08,0.08,0.05,0.14,2.43,1.35,3.51,0.00,0.14,0.14,0.00,0.14,0.08,0.05,0.13,0.08,0.13,Matches
1431,Maxima Goffi,fr FRA,DF,Lille,fr Ligue 1,17-345,2008,1,0,39,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1432,Saba Goglichidze,ge GEO,DF,Udinese,it Serie A,21-192,2004,7,4,422,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.04,0.04,0.02,0.06,01.06,04.04,0.43,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
1433,Edoardo Goldaniga,it ITA,DF,Como,it Serie A,32-062,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1434,André Gomes,pt POR,MF,Lille,fr Ligue 1,32-157,1993,2,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1435,João Gomes,br BRA,MF,Wolves,eng Premier League,24-325,2001,18,16,"1,459",16.2,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.03,0.03,0.02,0.05,1.54,4.81,1.79,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1436,Toti Gomes,pt POR,DF,Wolves,eng Premier League,26-352,1999,13,12,949,10.5,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.10,0.00,0.00,0.02,0.02,0.57,2.19,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
1437,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,28-225,1997,8,3,249,2.8,0.00,0.71,0.71,0.00,0.00,0.00,0.71,0.00,0.07,0.07,0.25,0.32,0.71,3.57,4.64,0.00,0.72,0.72,0.00,0.72,0.07,0.24,0.31,0.07,0.31,Matches
1438,Moi Gómez,es ESP,MF,Osasuna,es La Liga,31-194,1994,13,9,813,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.02,0.02,0.08,0.10,1.22,8.78,2.11,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
1439,Sergio Gómez,es ESP,DF,Real Sociedad,es La Liga,25-121,2000,17,13,"1,192",13.2,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.06,0.06,0.17,0.23,1.36,5.00,4.62,0.00,0.00,0.00,0.00,0.00,0.06,0.17,0.22,0.06,0.22,Matches
1440,Unai Gómez,es ESP,"FW,MF",Athletic Club,es La Liga,22-223,2003,11,2,316,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.06,0.20,1.14,2.00,5.14,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.21,0.15,0.21,Matches
1441,Rafael Gonçalves,pt POR,MF,Strasbourg,fr Ligue 1,20-319,2005,6,3,239,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,1.48,5.56,0.37,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
1442,Nicolás González,ar ARG,"MF,DF",Juventus,it Serie A,27-272,1998,2,0,19,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,1.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.63,0.32,0.95,0.63,0.95,Matches
1443,Urko González,es ESP,MF,Espanyol,es La Liga,24-289,2001,15,9,892,9.9,0.00,0.10,0.10,0.00,0.00,0.00,0.30,0.00,0.02,0.02,0.01,0.04,0.51,3.23,0.71,0.00,0.10,0.10,0.00,0.10,0.02,0.01,0.04,0.02,0.04,Matches
1444,Urko González,es ESP,MF,Real Sociedad,es La Liga,24-289,2001,1,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1445,Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,30-331,1995,14,12,861,9.6,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.06,0.06,0.13,0.20,02.08,8.44,1.98,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
1446,Andoni Gorosabel,es ESP,DF,Athletic Club,es La Liga,29-152,1996,8,5,415,4.6,0.00,0.22,0.22,0.00,0.00,0.00,0.43,0.00,0.04,0.04,0.07,0.11,2.17,4.78,7.39,0.00,0.22,0.22,0.00,0.22,0.04,0.06,0.10,0.04,0.10,Matches
1447,Olaf Gorter,nl NED,MF,Lecce,it Serie A,20-337,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1448,Mikel Goti,es ESP,MF,Real Sociedad,es La Liga,23-225,2002,4,1,76,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.37,0.00,0.37,2.50,7.50,8.75,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.41,0.41,0.41,Matches
1449,Mario Götze,de GER,MF,Eint Frankfurt,de Bundesliga,33-214,1992,11,3,420,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.21,0.32,01.06,2.98,6.81,0.00,0.00,0.00,0.00,0.00,0.09,0.22,0.32,0.09,0.32,Matches
1450,Tiago Gouveia,pt POR,"DF,MF",Nice,fr Ligue 1,24-199,2001,9,4,375,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.10,0.10,0.00,0.12,1.43,1.19,5.24,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Matches
1451,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,34-177,1991,5,4,365,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.02,0.02,0.05,0.07,0.24,3.90,0.49,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
1452,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-360,1999,15,15,"1,35",15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
1453,Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,33-040,1992,10,10,807,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.11,0.01,0.01,0.01,0.02,0.78,4.11,0.22,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
1454,Alberto Grassi,it ITA,MF,Cremonese,it Serie A,30-302,1995,11,5,578,6.4,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.02,0.02,0.00,0.02,0.47,2.97,0.78,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
1455,Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28-272,1997,12,12,"1,08",12.0,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.08,0.00,0.00,0.08,0.08,0.00,0.08,0.00,0.01,0.01,0.00,0.01,Matches
1456,Pascal Groß,de GER,MF,Dortmund,de Bundesliga,34-202,1991,11,7,613,6.8,0.00,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.16,0.25,1.91,10.0,7.50,0.00,0.15,0.15,0.00,0.15,0.09,0.16,0.25,0.09,0.25,Matches
1457,Ilia Gruev,bg BUL,MF,Leeds United,eng Premier League,25-242,2000,10,5,484,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.04,0.04,0.37,3.52,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
1458,Albert Grønbaek,dk DEN,"FW,MF",Genoa,it Serie A,24-225,2001,4,1,103,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.27,0.27,0.91,5.45,3.64,0.00,0.00,0.00,0.00,0.00,0.03,0.25,0.28,0.03,0.28,Matches
1459,Gabriel Gudmundsson,se SWE,DF,Leeds United,eng Premier League,26-249,1999,19,18,"1,56",17.3,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.05,0.05,0.10,0.16,2.77,3.24,3.93,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16,Matches
1460,Javier Guerra,es ESP,MF,Valencia,es La Liga,23-002,2003,17,12,946,10.5,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.00,0.10,0.10,0.14,0.25,1.81,5.14,2.38,0.00,0.19,0.19,0.00,0.19,0.10,0.15,0.25,0.10,0.25,Matches
1461,Daniel Guerrero,es ESP,MF,Betis,es La Liga,20-161,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1462,Ismaël Guerti,fr FRA,MF,Metz,fr Ligue 1,21-157,2004,3,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.3,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1463,Evann Guessand,ci CIV,FW,Aston Villa,eng Premier League,24-186,2001,12,6,515,5.7,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.11,0.28,2.11,1.40,4.91,0.00,0.17,0.17,0.00,0.17,0.17,0.11,0.28,0.17,0.28,Matches
1464,Idrissa Guèye,sn SEN,"MF,FW",Udinese,it Serie A,19-109,2006,2,0,41,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1465,Idrissa Guèye,sn SEN,FW,Metz,fr Ligue 1,19-109,2006,3,1,132,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,0.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
1466,Luis Guilherme,br BRA,"FW,MF",West Ham,eng Premier League,19-328,2006,5,1,125,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,1.43,1.43,3.57,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
1467,Daouda Guindo,ml MLI,DF,Brest,fr Ligue 1,23-081,2002,10,5,524,5.8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.02,0.02,0.07,0.09,0.86,1.90,3.79,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
1468,Marc Guiu,es ESP,FW,Sunderland,eng Premier League,19-364,2006,2,0,15,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
1469,Marc Guiu,es ESP,FW,Chelsea,eng Premier League,19-364,2006,7,1,238,2.6,0.00,0.38,0.38,0.00,0.00,0.00,0.38,0.00,0.54,0.54,0.38,0.92,0.77,0.77,5.00,0.00,0.38,0.38,0.00,0.38,0.54,0.37,0.92,0.54,0.92,Matches
1470,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35-242,1990,15,15,"1,35",15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1471,Gerard Gumbau,es ESP,MF,Rayo Vallecano,es La Liga,31-016,1994,12,2,261,2.9,0.00,0.34,0.34,0.00,0.00,0.00,0.34,0.00,0.07,0.07,0.07,0.14,02.07,4.48,2.41,0.00,0.34,0.34,0.00,0.34,0.07,0.09,0.15,0.07,0.15,Matches
1472,Christian Günter,de GER,DF,Freiburg,de Bundesliga,32-309,1993,10,6,542,6.0,0.00,0.33,0.33,0.00,0.00,0.00,0.17,0.00,0.05,0.05,0.10,0.17,1.17,3.00,4.67,0.00,0.33,0.33,0.00,0.33,0.06,0.11,0.16,0.06,0.16,Matches
1473,Jon Guridi,es ESP,"MF,FW",Alavés,es La Liga,30-309,1995,11,5,389,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,02.09,4.88,3.72,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
1474,Miguel Gutiérrez,es ESP,"DF,MF",Napoli,it Serie A,24-160,2001,9,3,349,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.08,0.10,1.28,4.87,4.87,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
1475,Janik Haberer,de GER,"MF,DF",Union Berlin,de Bundesliga,31-276,1994,14,9,753,8.4,0.00,0.12,0.12,0.00,0.00,0.00,0.60,0.00,0.06,0.06,0.06,0.11,0.95,2.98,1.31,0.00,0.12,0.12,0.00,0.12,0.06,0.06,0.11,0.06,0.11,Matches
1476,Robin Hack,de GER,"FW,MF",Gladbach,de Bundesliga,27-129,1998,4,3,248,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.25,0.43,2.86,6.43,8.21,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.42,0.17,0.42,Matches
1477,Lewis Hall,eng ENG,DF,Newcastle Utd,eng Premier League,21-117,2004,12,8,792,8.8,0.00,0.11,0.11,0.00,0.00,0.00,0.11,0.00,0.05,0.05,0.08,0.13,1.70,06.02,04.09,0.00,0.11,0.11,0.00,0.11,0.05,0.08,0.13,0.05,0.13,Matches
1478,Adil Hamdani,fr FRA,FW,Lyon,fr Ligue 1,16-347,2009,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
1479,Pierre-Yves Hamel,fr FRA,FW,Paris FC,fr Ligue 1,31-334,1994,2,1,78,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1480,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,28-351,1997,13,8,851,9.5,0.00,0.11,0.11,0.00,0.00,0.00,0.32,0.00,0.03,0.03,0.05,0.09,0.53,03.05,0.11,0.00,0.11,0.11,0.00,0.11,0.03,0.06,0.09,0.03,0.09,Matches
1481,Dávid Hancko,sk SVK,DF,Atlético Madrid,es La Liga,28-021,1997,18,16,"1,442",16.0,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.11,0.15,1.75,6.19,2.94,0.00,0.12,0.12,0.00,0.12,0.04,0.11,0.15,0.04,0.15,Matches
1482,Florent Hanin,dz ALG,DF,Angers,fr Ligue 1,35-333,1990,11,4,405,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,1.78,2.44,1.78,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
1483,Isak Hansen-Aarøen,no NOR,FW,Werder Bremen,de Bundesliga,21-134,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1484,Jack Harrison,eng ENG,"FW,DF",Leeds United,eng Premier League,29-044,1996,11,1,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.13,0.23,2.67,3.33,5.67,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.23,0.09,0.23,Matches
1485,Abdou Harroui,nl NED,"MF,FW",Hellas Verona,it Serie A,27-355,1998,8,2,152,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,2.35,1.18,2.35,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
1486,Quilindschy Hartman,nl NED,DF,Burnley,eng Premier League,24-050,2001,15,15,"1,337",14.9,0.00,0.27,0.27,0.00,0.00,0.00,0.07,0.00,0.01,0.01,0.10,0.11,0.40,2.95,2.89,0.00,0.27,0.27,0.00,0.27,0.01,0.10,0.11,0.01,0.11,Matches
1487,Haissem Hassan,fr FRA,"FW,MF",Oviedo,es La Liga,23-329,2002,16,9,907,10.1,0.00,0.10,0.10,0.00,0.00,0.00,0.10,0.00,0.11,0.11,0.07,0.17,6.63,2.77,5.54,0.00,0.10,0.10,0.00,0.10,0.11,0.07,0.17,0.11,0.17,Matches
1488,Hans Hateboer,nl NED,DF,Rennes,fr Ligue 1,31-359,1994,1,0,22,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,10.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1489,Hans Hateboer,nl NED,DF,Lyon,fr Ligue 1,31-359,1994,5,3,224,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.24,0.24,0.00,0.24,2.00,3.60,8.40,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
1490,Jorrel Hato,nl NED,DF,Chelsea,eng Premier League,19-302,2006,4,2,168,1.9,0.00,0.00,0.00,0.00,0.00,0.00,01.05,0.00,0.00,0.00,0.00,0.00,0.00,2.11,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1491,Kai Havertz,de GER,FW,Arsenal,eng Premier League,26-206,1999,1,0,31,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1492,Ayden Heaven,eng ENG,DF,Manchester Utd,eng Premier League,19-103,2006,8,6,487,5.4,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.00,0.02,0.02,0.07,0.07,0.37,2.41,0.37,0.00,0.18,0.18,0.00,0.18,0.01,0.07,0.08,0.01,0.08,Matches
1493,Torbjørn Heggem,no NOR,DF,Bologna,it Serie A,26-356,1999,13,12,"1,097",12.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.05,0.00,0.05,0.66,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
1494,Dominique Heintz,de GER,DF,Köln,de Bundesliga,32-141,1993,7,5,375,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.71,4.52,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
1495,George Hemmings,eng ENG,MF,Aston Villa,eng Premier League,18-305,2007,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1496,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-297,1997,19,19,"1,71",19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1497,Ramon Hendriks,nl NED,DF,Stuttgart,de Bundesliga,24-169,2001,12,7,639,7.1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.01,0.00,0.01,1.55,3.66,2.25,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
1498,Luis Henrique,br BRA,DF,Inter,it Serie A,24-020,2001,11,6,537,6.0,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.13,0.20,2.50,3.50,5.17,0.00,0.17,0.17,0.00,0.17,0.06,0.14,0.19,0.06,0.19,Matches
1499,Rico Henry,jm JAM,DF,Brentford,eng Premier League,28-179,1997,15,5,614,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.03,0.03,0.01,0.04,2.50,2.65,4.41,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
1500,Pharell Hensel,de GER,MF,Wolfsburg,de Bundesliga,18-300,2007,3,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1501,Mads Hermansen,dk DEN,GK,West Ham,eng Premier League,25-176,2000,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
