Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
38,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,31-329,1994,13,13,"1,041",11.6,0.52,0.09,0.60,0.34,0.17,0.26,0.17,0.00,0.30,0.10,0.16,0.25,02.07,7.59,02.07,0.52,0.09,0.61,0.35,0.43,0.31,0.15,0.46,0.10,0.25,Matches
39,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,29-280,1996,15,15,"1,261",14.0,0.43,0.14,0.57,0.07,0.36,0.50,0.00,0.00,0.44,0.04,0.33,0.37,2.29,2.93,7.21,0.43,0.14,0.57,0.07,0.21,0.44,0.33,0.77,0.04,0.37,Matches
40,Yan Diomandé,ci CIV,FW,RB Leipzig,de Bundesliga,19-050,2006,14,10,888,9.9,0.61,0.20,0.81,0.61,0.00,0.00,0.20,0.00,0.32,0.32,0.11,0.43,6.26,04.04,7.88,0.61,0.20,0.81,0.61,0.81,0.32,0.12,0.44,0.32,0.44,Matches
41,Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25-208,2000,16,12,991,11.0,0.55,0.18,0.73,0.36,0.18,0.18,0.27,0.00,0.35,0.22,0.13,0.34,1.82,6.27,05.09,0.54,0.18,0.73,0.36,0.54,0.36,0.13,0.48,0.21,0.34,Matches
42,Hugo Duro,es ESP,FW,Valencia,es La Liga,26-054,1999,17,10,993,11.0,0.55,0.00,0.55,0.55,0.00,0.00,0.27,0.00,0.35,0.35,0.04,0.39,0.36,1.18,4.36,0.54,0.00,0.54,0.54,0.54,0.35,0.04,0.39,0.35,0.39,Matches
43,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,es La Liga,34-288,1991,18,5,671,7.5,0.80,0.00,0.80,0.80,0.00,0.00,0.00,0.00,0.63,0.63,0.12,0.75,1.20,05.07,7.73,0.80,0.00,0.80,0.80,0.80,0.62,0.13,0.75,0.62,0.75,Matches
44,Bruno Guimarães,br BRA,MF,Newcastle Utd,eng Premier League,28-048,1997,18,17,"1,568",17.4,0.34,0.11,0.46,0.34,0.00,0.00,0.23,0.00,0.16,0.16,0.10,0.26,1.38,08.05,03.05,0.34,0.11,0.46,0.34,0.46,0.16,0.10,0.26,0.16,0.26,Matches
45,Rasmus Højlund,dk DEN,FW,Napoli,it Serie A,22-333,2003,12,11,928,10.3,0.58,0.19,0.78,0.58,0.00,0.00,0.10,0.00,0.44,0.44,0.18,0.62,1.65,1.65,6.50,0.58,0.19,0.78,0.58,0.78,0.44,0.18,0.62,0.44,0.62,Matches
46,João Pedro,br BRA,"FW,MF",Chelsea,eng Premier League,24-099,2001,19,17,"1,448",16.1,0.37,0.19,0.56,0.37,0.00,0.00,0.12,0.00,0.40,0.40,0.17,0.58,2.42,3.48,6.15,0.37,0.19,0.56,0.37,0.56,0.40,0.18,0.58,0.40,0.58,Matches
47,Ilan Kebbal,dz ALG,"FW,MF",Paris FC,fr Ligue 1,27-178,1998,16,16,"1,404",15.6,0.38,0.26,0.64,0.26,0.13,0.13,0.13,0.00,0.27,0.17,0.19,0.36,3.85,7.18,07.05,0.38,0.26,0.64,0.26,0.51,0.27,0.19,0.46,0.17,0.36,Matches
